'Guatemala'|'Guatemala City'|'Quetzal'
'Guinea'|'Conakry'|'Guinean franc'
'Guinea-Bissau'|'Bissau'|'CFA Franc'
'Guyana'|'Georgetown'|'Guyanese dollar'
'Haiti'|'Port-au-Prince'|'Gourde'
'Honduras'|'Tegucigalpa'|'Lempira'
'Hungary'|'Budapest'|'Forint'
'Iceland'|'Reykjavik'|'Icelandic króna'
'India'|'New Delhi'|'Indian Rupee'
'Indonesia'|'Jakarta'|'Rupiah'
'Iran'|'Tehran'|'Rial'
'Iraq'|'Baghdad'|'Iraqi Dinar'
'Ireland'|'Dublin'|'Euro (formerly Irish pound [punt])'
'Israel'|'Jerusalem*'|'Shekel'
'Italy'|'Rome'|'Euro (formerly lira)'
'Jamaica'|'Kingston'|'Jamaican dollar'
'Japan'|'Tokyo'|'Yen'
'Jordan'|'Amman'|'Jordanian dinar'
'Kazakhstan'|'Nur Sultan'|'Tenge'
'Kenya'|'Nairobi'|'Kenya shilling'
'Kiribati'|'Tarawa Atoll'|'Kiribati dollar'
'Korea, North'|'Pyongyang'|'Won'
'Korea, South'|'Seoul'|'Won'
'Kosovo'|'Pristina'|'Euro (German Mark prior to 2002)'
'Kuwait'|'Kuwait City'|'Kuwaiti Dollar'
'Kyrgyzstan'|'Bishkek'|'Som'
'Laos'|'Vientiane'|'New Kip'
'Latvia'|'Riga'|'Lats'
'Lebanon'|'Beirut'|'Lebanese pound'
'Lesotho'|'Maseru'|'Maluti'
'Liberia'|'Monrovia'|'Liberian dollar'
'Libya'|'Tripoli'|'Libyan dinar'
'Liechtenstein'|'Vaduz'|'Swiss franc'
'Lithuania'|'Vilnius'|'Litas'
'Luxembourg'|'Luxembourg'|'Euro (formerly Luxembourg franc)'
'Macedonia'|'Skopje'|'Denar'
'Madagascar'|'Antananarivo'|'Malagasy Ariary'
'Malawi'|'Lilongwe'|'Kwacha'
'Malaysia'|'Kuala Lumpur'|'Ringgit'
'Maldives'|'Male'|'Rufiyaa'
'Mali'|'Bamako'|'CFA Franc'
'Malta'|'Valletta'|'Euro'
'Marshall Islands'|'Majuro'|'U.S. Dollar'
'Mauritania'|'Nouakchott'|'Ouguiya'
'Mauritius'|'Port Louis'|'Mauritian rupee'
'Mexico'|'Mexico City'|'Mexican peso'
'Micronesia, Federated States of'|'Palikir'|'U.S. Dollar'
'Moldova'|'Chisinau'|'Leu'
'Monaco'|'Monte Carlo'|'Euro'
'Mongolia'|'Ulaanbaatar'|'Togrog'
'Montenegro'|'Podgorica'|'Euro'
'Morocco'|'Rabat'|'Dirham'
'Mozambique'|'Maputo'|'Metical'
'Myanmar (Burma)'|'Nay Pyi Taw'|'Kyat'
'Namibia'|'Windhoek'|'Namibian dollar'
'Nauru'|'no official capital; government offices in Yaren District'|'Australian dollar'
'Nepal'|'Kathmandu'|'Nepalese rupee'
'Netherlands'|'Amsterdam; The Hague (seat of government)'|'Euro (formerly guilder)'
'New Zealand'|'Wellington'|'New Zealand dollar'
'Nicaragua'|'Managua'|'Gold cordoba'
'Niger'|'Niamey'|'CFA Franc'
'Nigeria'|'Abuja'|'Naira'
'Norway'|'Oslo'|'Norwegian krone'
'Oman'|'Muscat'|'Omani rial'
'Pakistan'|'Islamabad'|'Pakistani rupee'
'Palau'|'Melekeok'|'U.S. dollar'
'Palestine'|'Ramallah, East Jerusalem'|'Palestine Pound'
'Panama'|'Panama City'|'Balboa; U.S. dollar'
'Papua New Guinea'|'Port Moresby'|'Kina'
'Paraguay'|'Asuncion'|'Guaraní'
'Peru'|'Lima'|'Nuevo sol (1991)'
'Philippines'|'Manila'|'Peso'
'Poland'|'Warsaw'|'Zloty'
'Portugal'|'Lisbon'|'Euro (formerly escudo)'
'Qatar'|'Doha'|'Qatari riyal'
'Romania'|'Bucharest'|'Romanian Rupee'
